seed,width,batches,policy,capacity_records,events,max_live_records,queries,correct,all_correct,anchor_correct,peak_records,peak_serialized_payload_bytes,checkpoints
1,8,16,release_on_retire,16,388,8,113,113,True,True,8,268,16
1,8,16,lru_value_records,7,452,8,113,111,False,False,7,238,80
1,8,16,release_on_retire,7,452,8,113,111,False,False,7,237,80
1,8,16,lru_value_records,8,452,8,113,112,False,False,8,272,80
1,8,16,release_on_retire,8,452,8,113,113,True,True,8,268,80
1,8,16,lru_value_records,16,452,8,113,112,False,False,16,539,80
1,8,16,release_on_retire,16,452,8,113,113,True,True,8,268,80
1,8,64,lru_value_records,7,1476,8,449,447,False,False,7,239,0
1,8,64,release_on_retire,7,1476,8,449,447,False,False,7,237,0
1,8,64,lru_value_records,8,1476,8,449,448,False,False,8,273,0
1,8,64,release_on_retire,8,1476,8,449,449,True,True,8,268,0
1,8,64,lru_value_records,16,1476,8,449,448,False,False,16,542,0
1,8,64,release_on_retire,16,1476,8,449,449,True,True,8,268,0
1,8,64,lru_value_records,7,1540,8,449,447,False,False,7,239,64
1,8,64,release_on_retire,7,1540,8,449,447,False,False,7,237,64
1,8,64,lru_value_records,8,1540,8,449,448,False,False,8,273,64
1,8,64,release_on_retire,8,1540,8,449,449,True,True,8,268,64
1,8,64,lru_value_records,16,1540,8,449,448,False,False,16,542,64
1,8,64,release_on_retire,16,1540,8,449,449,True,True,8,268,64
1,8,64,lru_value_records,7,1796,8,449,447,False,False,7,239,320
1,8,64,release_on_retire,7,1796,8,449,447,False,False,7,237,320
1,8,64,lru_value_records,8,1796,8,449,448,False,False,8,273,320
1,8,64,release_on_retire,8,1796,8,449,449,True,True,8,268,320
1,8,64,lru_value_records,16,1796,8,449,448,False,False,16,542,320
1,8,64,release_on_retire,16,1796,8,449,449,True,True,8,268,320
2,2,4,lru_value_records,1,24,2,5,3,False,False,1,34,0
2,2,4,release_on_retire,1,24,2,5,3,False,False,1,34,0
2,2,4,lru_value_records,2,24,2,5,4,False,False,2,66,0
2,2,4,release_on_retire,2,24,2,5,5,True,True,2,66,0
2,2,4,lru_value_records,4,24,2,5,4,False,False,4,131,0
2,2,4,release_on_retire,4,24,2,5,5,True,True,2,66,0
2,2,4,lru_value_records,1,28,2,5,3,False,False,1,34,4
2,2,4,release_on_retire,1,28,2,5,3,False,False,1,34,4
2,2,4,lru_value_records,2,28,2,5,4,False,False,2,66,4
2,2,4,release_on_retire,2,28,2,5,5,True,True,2,66,4
2,2,4,lru_value_records,4,28,2,5,4,False,False,4,131,4
2,2,4,release_on_retire,4,28,2,5,5,True,True,2,66,4
2,2,4,lru_value_records,1,44,2,5,3,False,False,1,34,20
2,2,4,release_on_retire,1,44,2,5,3,False,False,1,34,20
2,2,4,lru_value_records,2,44,2,5,4,False,False,2,66,20
2,2,4,release_on_retire,2,44,2,5,5,True,True,2,66,20
2,2,4,lru_value_records,4,44,2,5,4,False,False,4,131,20
2,2,4,release_on_retire,4,44,2,5,5,True,True,2,66,20
2,2,16,lru_value_records,1,84,2,17,15,False,False,1,35,0
2,2,16,release_on_retire,1,84,2,17,15,False,False,1,35,0
2,2,16,lru_value_records,2,84,2,17,16,False,False,2,69,0
2,2,16,release_on_retire,2,84,2,17,17,True,True,2,66,0
2,2,16,lru_value_records,4,84,2,17,16,False,False,4,136,0
2,2,16,release_on_retire,4,84,2,17,17,True,True,2,66,0
2,2,16,lru_value_records,1,100,2,17,15,False,False,1,35,16
2,2,16,release_on_retire,1,100,2,17,15,False,False,1,35,16
2,2,16,lru_value_records,2,100,2,17,16,False,False,2,69,16
2,2,16,release_on_retire,2,100,2,17,17,True,True,2,66,16
2,2,16,lru_value_records,4,100,2,17,16,False,False,4,136,16
2,2,16,release_on_retire,4,100,2,17,17,True,True,2,66,16
2,2,16,lru_value_records,1,164,2,17,15,False,False,1,35,80
2,2,16,release_on_retire,1,164,2,17,15,False,False,1,35,80
2,2,16,lru_value_records,2,164,2,17,16,False,False,2,69,80
2,2,16,release_on_retire,2,164,2,17,17,True,True,2,66,80
2,2,16,lru_value_records,4,164,2,17,16,False,False,4,136,80
2,2,16,release_on_retire,4,164,2,17,17,True,True,2,66,80
2,2,64,lru_value_records,1,324,2,65,63,False,False,1,35,0
2,2,64,release_on_retire,1,324,2,65,63,False,False,1,35,0
2,2,64,lru_value_records,2,324,2,65,64,False,False,2,69,0
2,2,64,release_on_retire,2,324,2,65,65,True,True,2,66,0
